wlo,whi,flux
# keV,keV,phot/cm^2/s/bin
   0.18116,    0.18117,   1.0407e-10
   0.18117,    0.18119,   8.9192e-11
   0.18119,    0.18120,   8.7886e-11
   0.18120,    0.18122,   1.0125e-10
   0.18122,    0.18123,   3.6577e-10
   0.18123,    0.18125,   1.3153e-09
   0.18125,    0.18126,   1.3043e-09
   0.18126,    0.18128,   3.5837e-10
   0.18128,    0.18129,   1.0840e-10
   0.18129,    0.18131,   2.7561e-10
   0.18131,    0.18132,   1.0544e-09
   0.18132,    0.18133,   1.2078e-09
   0.18133,    0.18135,   5.5394e-10
   0.18135,    0.18136,   1.1472e-09
   0.18136,    0.18138,   1.4654e-09
   0.18138,    0.18139,   6.1438e-10
   0.18139,    0.18141,   4.5788e-10
   0.18141,    0.18142,   3.1042e-10
   0.18142,    0.18144,   1.1995e-10
   0.18144,    0.18145,   8.8585e-11
   0.18145,    0.18147,   8.7574e-11
   0.18147,    0.18148,   8.7561e-11
   0.18148,    0.18150,   8.7573e-11
   0.18150,    0.18151,   8.7604e-11
   0.18151,    0.18152,   8.7587e-11
   0.18152,    0.18154,   8.7547e-11
   0.18154,    0.18155,   8.7603e-11
   0.18155,    0.18157,   9.0815e-11
   0.18157,    0.18158,   1.0863e-10
   0.18158,    0.18160,   1.5307e-10
   0.18160,    0.18161,   1.5128e-10
   0.18161,    0.18163,   1.0169e-10
   0.18163,    0.18164,   8.8238e-11
   0.18164,    0.18166,   9.0000e-11
   0.18166,    0.18167,   1.0961e-10
   0.18167,    0.18169,   1.3074e-10
   0.18169,    0.18170,   1.0659e-10
   0.18170,    0.18172,   8.9332e-11
   0.18172,    0.18173,   8.7624e-11
   0.18173,    0.18174,   9.1324e-11
   0.18174,    0.18176,   1.1432e-10
   0.18176,    0.18177,   1.2900e-10
   0.18177,    0.18179,   1.0299e-10
   0.18179,    0.18180,   1.2028e-10
   0.18180,    0.18182,   2.9213e-10
   0.18182,    0.18183,   3.8145e-10
   0.18183,    0.18185,   1.8270e-10
   0.18185,    0.18186,   9.4141e-11
   0.18186,    0.18188,   8.7517e-11
   0.18188,    0.18189,   8.9323e-11
   0.18189,    0.18191,   2.4727e-10
   0.18191,    0.18192,   2.8197e-09
   0.18192,    0.18193,   1.0183e-08
   0.18193,    0.18195,   8.4860e-09
   0.18195,    0.18196,   1.6540e-09
   0.18196,    0.18198,   1.6913e-10
   0.18198,    0.18199,   1.1709e-10
   0.18199,    0.18201,   9.7800e-11
   0.18201,    0.18202,   8.8256e-11
   0.18202,    0.18204,   8.7373e-11
   0.18204,    0.18205,   8.7350e-11
   0.18205,    0.18207,   8.7346e-11
   0.18207,    0.18208,   8.7342e-11
   0.18208,    0.18210,   8.7335e-11
   0.18210,    0.18211,   8.7328e-11
   0.18211,    0.18213,   8.7322e-11
   0.18213,    0.18214,   8.7317e-11
   0.18214,    0.18215,   8.7312e-11
   0.18215,    0.18217,   8.7306e-11
   0.18217,    0.18218,   8.7301e-11
   0.18218,    0.18220,   8.7295e-11
   0.18220,    0.18221,   8.7290e-11
   0.18221,    0.18223,   8.7821e-11
   0.18223,    0.18224,   1.3562e-10
   0.18224,    0.18226,   3.4201e-10
   0.18226,    0.18227,   1.9490e-10
   0.18227,    0.18229,   9.4334e-11
   0.18229,    0.18230,   8.7668e-11
   0.18230,    0.18232,   8.7279e-11
   0.18232,    0.18233,   8.7302e-11
   0.18233,    0.18235,   8.7283e-11
   0.18235,    0.18236,   8.7363e-11
   0.18236,    0.18237,   9.0488e-11
   0.18237,    0.18239,   1.0302e-10
   0.18239,    0.18240,   1.0160e-10
   0.18240,    0.18242,   8.9693e-11
   0.18242,    0.18243,   9.0137e-11
   0.18243,    0.18245,   1.4975e-10
   0.18245,    0.18246,   2.3005e-10
   0.18246,    0.18248,   1.2215e-10
   0.18248,    0.18249,   9.1161e-11
   0.18249,    0.18251,   9.1207e-11
   0.18251,    0.18252,   8.8903e-11
   0.18252,    0.18254,   8.7338e-11
   0.18254,    0.18255,   8.7170e-11
   0.18255,    0.18257,   8.7161e-11
   0.18257,    0.18258,   8.7156e-11
   0.18258,    0.18260,   8.7155e-11
   0.18260,    0.18261,   8.7257e-11
   0.18261,    0.18262,   8.7658e-11
   0.18262,    0.18264,   8.9128e-11
   0.18264,    0.18265,   1.5567e-10
   0.18265,    0.18267,   2.8289e-10
   0.18267,    0.18268,   1.2850e-10
   0.18268,    0.18270,   8.7888e-11
   0.18270,    0.18271,   8.8166e-11
   0.18271,    0.18273,   8.8013e-11
   0.18273,    0.18274,   8.7273e-11
   0.18274,    0.18276,   8.7156e-11
   0.18276,    0.18277,   8.9572e-11
   0.18277,    0.18279,   1.2540e-10
   0.18279,    0.18280,   2.3078e-10
   0.18280,    0.18282,   2.2377e-10
   0.18282,    0.18283,   1.4133e-10
   0.18283,    0.18285,   1.0818e-10
   0.18285,    0.18286,   9.3584e-11
   0.18286,    0.18287,   1.0866e-10
   0.18287,    0.18289,   1.5370e-10
   0.18289,    0.18290,   1.4744e-10
   0.18290,    0.18292,   1.2332e-10
   0.18292,    0.18293,   1.0795e-10
   0.18293,    0.18295,   9.2111e-11
   0.18295,    0.18296,   8.9448e-11
   0.18296,    0.18298,   9.0306e-11
   0.18298,    0.18299,   1.2150e-10
   0.18299,    0.18301,   1.5924e-10
   0.18301,    0.18302,   1.0089e-10
   0.18302,    0.18304,   1.1390e-10
   0.18304,    0.18305,   1.8724e-10
   0.18305,    0.18307,   1.9821e-10
   0.18307,    0.18308,   1.2812e-10
   0.18308,    0.18310,   9.6934e-11
   0.18310,    0.18311,   9.0302e-11
   0.18311,    0.18313,   8.8009e-11
   0.18313,    0.18314,   8.7196e-11
   0.18314,    0.18315,   8.6989e-11
   0.18315,    0.18317,   8.6955e-11
   0.18317,    0.18318,   9.1950e-11
   0.18318,    0.18320,   3.2393e-10
   0.18320,    0.18321,   7.7480e-10
   0.18321,    0.18323,   2.3453e-10
   0.18323,    0.18324,   8.8766e-11
   0.18324,    0.18326,   8.7479e-11
   0.18326,    0.18327,   8.9593e-11
   0.18327,    0.18329,   9.0312e-11
   0.18329,    0.18330,   8.8061e-11
   0.18330,    0.18332,   8.6995e-11
   0.18332,    0.18333,   8.6922e-11
   0.18333,    0.18335,   8.7906e-11
   0.18335,    0.18336,   9.3444e-11
   0.18336,    0.18338,   9.7322e-11
   0.18338,    0.18339,   2.6027e-10
   0.18339,    0.18341,   1.5459e-09
   0.18341,    0.18342,   9.8656e-10
   0.18342,    0.18344,   1.2327e-10
   0.18344,    0.18345,   8.8451e-11
   0.18345,    0.18347,   1.5116e-10
   0.18347,    0.18348,   5.1233e-10
   0.18348,    0.18349,   3.2373e-10
   0.18349,    0.18351,   9.9643e-11
   0.18351,    0.18352,   9.3055e-11
   0.18352,    0.18354,   9.7946e-11
   0.18354,    0.18355,   8.9814e-11
   0.18355,    0.18357,   8.7200e-11
   0.18357,    0.18358,   1.0182e-10
   0.18358,    0.18360,   2.0540e-10
   0.18360,    0.18361,   2.6052e-10
   0.18361,    0.18363,   1.3842e-10
   0.18363,    0.18364,   9.4910e-11
   0.18364,    0.18366,   8.8675e-11
   0.18366,    0.18367,   8.6881e-11
   0.18367,    0.18369,   8.6739e-11
   0.18369,    0.18370,   8.6730e-11
   0.18370,    0.18372,   8.6727e-11
   0.18372,    0.18373,   8.6813e-11
   0.18373,    0.18375,   8.7414e-11
   0.18375,    0.18376,   8.8741e-11
   0.18376,    0.18378,   9.1610e-11
   0.18378,    0.18379,   9.5217e-11
   0.18379,    0.18381,   9.0545e-11
   0.18381,    0.18382,   8.7053e-11
   0.18382,    0.18383,   8.6745e-11
   0.18383,    0.18385,   8.6689e-11
   0.18385,    0.18386,   8.6658e-11
   0.18386,    0.18388,   8.6649e-11
   0.18388,    0.18389,   8.6665e-11
   0.18389,    0.18391,   8.7968e-11
   0.18391,    0.18392,   1.0666e-10
   0.18392,    0.18394,   1.5652e-10
   0.18394,    0.18395,   1.5840e-10
   0.18395,    0.18397,   3.6897e-10
   0.18397,    0.18398,   2.0154e-09
   0.18398,    0.18400,   5.3597e-09
   0.18400,    0.18401,   5.6541e-09
   0.18401,    0.18403,   2.2723e-09
   0.18403,    0.18404,   3.9018e-10
   0.18404,    0.18406,   1.0409e-10
   0.18406,    0.18407,   1.8143e-10
   0.18407,    0.18409,   8.5296e-10
   0.18409,    0.18410,   5.6328e-10
   0.18410,    0.18412,   1.1715e-10
   0.18412,    0.18413,   1.0833e-10
   0.18413,    0.18415,   1.0822e-10
   0.18415,    0.18416,   9.8902e-11
   0.18416,    0.18418,   9.0717e-11
   0.18418,    0.18419,   8.8404e-11
   0.18419,    0.18421,   2.9274e-10
   0.18421,    0.18422,   3.3781e-09
   0.18422,    0.18423,   3.6984e-09
   0.18423,    0.18425,   3.6461e-10
   0.18425,    0.18426,   8.7713e-11
   0.18426,    0.18428,   8.7098e-11
   0.18428,    0.18429,   8.9000e-11
   0.18429,    0.18431,   8.8975e-11
   0.18431,    0.18432,   8.7964e-11
   0.18432,    0.18434,   1.0968e-10
   0.18434,    0.18435,   3.2959e-10
   0.18435,    0.18437,   1.5440e-09
   0.18437,    0.18438,   5.6504e-09
   0.18438,    0.18440,   1.2137e-08
   0.18440,    0.18441,   9.6225e-09
   0.18441,    0.18443,   2.2547e-09
   0.18443,    0.18444,   2.1723e-10
   0.18444,    0.18446,   8.8625e-11
   0.18446,    0.18447,   1.3327e-10
   0.18447,    0.18449,   1.7481e-09
   0.18449,    0.18450,   3.8412e-09
   0.18450,    0.18452,   7.2897e-10
   0.18452,    0.18453,   1.0558e-10
   0.18453,    0.18455,   1.1312e-10
   0.18455,    0.18456,   1.1436e-10
   0.18456,    0.18458,   9.7205e-11
